Table 1
SECOND PRACTICE MOSTLY IN MORNINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5am-6am,,,,6am-7am,,,,7am-8am,,,,8am-9am,,,,,9am-10am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10am-11am,Pre-Snack,1.5 before first exercise,,10am-11am,If Practice 1 = 1hour,,,,,,,,,If Practice 1 = 1hour,,,,If Practice 1 = 1hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,completion of first exercise,,,Pre-Snack,1.5 before first exercise,,10am-11am,Pre-Snack,1.5 before first exercise,,,10am-11am,Pre-Meal,3 before first exercise,,11am-12pm,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Post-Snack,completion of second exercise,,,Meal,completion of first exercise,,,Post Snack,completion of first exercise,,,,Pre-snack,1 before first exercise,,,Pre-snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,2 after last meal,,,Post-snack,completion of second exercise,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,Post-Snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,3 after last meal,,,Meal,3 after last meal,,,Meal,3 after last meal,,,,Snack,3 after last meal,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,If practice 1= 3 hours,,,,Meal,3 after last meal,,,Meal,3 after last meal,,,,Meal,3 after last meal,,,Meal,5 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pre-Snack,1.5 before first exercise,,,If Practice 1 = 2 or 3 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Post-Snack,completion of first exercise,,,Pre-Snack,1.5 before first exercise,,11am-12pm,If Practice 1 = 2 or 3 hours,,,,,If Practice 1 = 1hour or 2 hours,,,,If Practice 1 = 1hour or 2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pre Snack,1 before second exercise,,,Post Snack,completion of first exercise,,,Pre-Snack,1.5 before first exercise,,,11am-12pm,Pre-Meal,3 before first exercise,,12pm-1pm,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,completion of second exercise,,,Meal,completion of second exercise,,,Post Snack,completion of first exercise,,,,Pre-snack,1 before first exercise,,,Pre-snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,3 after last meal,,,Meal,3 after last meal,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,Post-Snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meal,3 after last meal,,,Meal,3 after last meal,,,Meal,3 after last meal,,,,Snack,3 after last meal,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,If Practice 1 = 1 or 2 hours,,,,Meal,3 after last meal,,,,Meal,3 after last meal,,,Meal,5 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11am-12pm,Pre-Snack,1.5 before first exercise,,11am-12pm,Pre-Snack,1.5 before first exercise,,,If Practice 1 = 1hour,,,,,If Practice 1 = 1hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
