Table 1
,,,,,,,,,Pre-Snack,1.5 before first exercise,,Pre-Snack,1.5 before first exercise,,Pre-Snack,1.5 before first exercise,,Pre-Snack,1.5 before first exercise,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,Meal,7 before first exercise,,Meal,7 before first exercise,,Meal,7 before first exercise,,Meal,7 before first exercise,,Meal,11 before first exercise,,Meal,10 before first exercise,,Meal,10 before first exercise,,Meal,10 before first exercise,
,,,,,,,,,Meal,completion of first exercise,,Pre-Meal,completion of first exercise,,Meal,completion of first exercise,,Post-Snack,completion of first exercise,,Post-snack,completion of first exercise,,Pre-Snack,1 before first exercise,,Pre-Snack,1 before first exercise,,Pre-Snack,1 before first exercise,,Pre Snack,1 before first exercise,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,Pre-Meal,3 before first exercise,,Meal,3 after last meal,,Meal,3 after last meal,,Meal,3 after last meal,,Meal,3 after last meal,
,,,,,,,,,Pre-Meal,3 before second exercise,,Pre-Snack,1 before second exercise,,Pre-Meal,3 before second exercise,,Pre-Snack,1 before second exercise,,Meal,7 before second exercise,,Pre-Meal,3 before second exercise,,Post-Snack,completion of first exercise,,Meal,completion of first exercise,,Meal,completion of first exercise,,Pre-Snack,1 before first exercise,,Meal,completion of first exercise,,Post-snack,completion of first exercise,,Pre-Snack,1 before first exercise,,Pre-meal,3 before first exercise,,Pre-meal,3 before first exercise,,Pre-meal,3 before first exercise,,Pre-meal,3 before first exercise,
,,,,,,,,,Meal,completion of second exercise,,Meal,completion of second exercise,,Post Snack,completion of second exercise,,Meal,completion of second exercise,,Pre-meal,3 before second exercise,,Pre-snack,1 before second exercise,,Meal,completion of second exercise,,Post-Snack,completion of second exercise,,Pre-Meal,3 before second exercise,,Post-snack,completion of first exercise,,Pre-Snack,1 before second exercise,,Pre-Snack,1 before second exercise,,Post-snack,completion of first exercise,,Post-snack,completion of first exercise,,Post-snack,completion of first exercise,,Post-snack,completion of first exercise,,Post-snack,completion of first exercise,
,,,,,,,,,Snack,2 after last meal,,Meal,3 after last meal,,Meal,2 after last meal,,Meal,3 after last meal,,Post-snack,completion of second exercise,,Meal,completion of second exercise,,Snack,3 after last meal,,Meal,2 after last meal,,Post-snack,completion of second exercise,,Meal,completion of second exercise,,Post-snack,completion of second exercise,,Meal,completion of second exercise,,Pre-Snack,1 before second exercise,,Post-snack,completion of second exercise,,Post-snack,completion of second exercise,,Post-snack,completion of second exercise,,Post-snack,completion of second exercise,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ps,completion of second exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Practice Time,First >,5:00:00 AM,5:00:00 AM,5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Second v,Duration (hrs),1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
,,,,,,,10:00:00 AM,1,"3:30AM - Pre-Snack
6:00AM - Meal
7:00AM - Pre-Meal
11:00AM - Meal
1:00PM - Snack","3:30AM - Pre-Snack
7:00AM - Meal
7:00AM - Pre-Meal
11:00AM - Meal
1:00PM - Snack","3:30AM - Pre-Snack
8:00AM - Meal
7:00AM - Pre-Meal
11:00AM - Meal
1:00PM - Snack","4:30AM - Pre-Snack
7:00AM - Pre-Meal
9:00AM - Pre-Snack
11:00AM - Meal
2:00PM - Meal","4:30AM - Pre-Snack
8:00AM - Pre-Meal
9:00AM - Pre-Snack
11:00AM - Meal
2:00PM - Meal","4:30AM - Pre-Snack
9:00AM - Pre-Meal
9:00AM - Pre-Snack
11:00AM - Meal
2:00PM - Meal","5:30AM - Pre-Snack
8:00AM - Meal
7:00AM - Pre-Meal
11:00AM - Post Snack
1:00PM - Meal","5:30AM - Pre-Snack
9:00AM - Meal
7:00AM - Pre-Meal
11:00AM - Post Snack
1:00PM - Meal","5:30AM - Pre-Snack
10:00AM - Meal
7:00AM - Pre-Meal
11:00AM - Post Snack
1:00PM - Meal","6:30AM - Pre-Snack
9:00AM - Post-Snack
9:00AM - Pre-Snack
11:00AM - Meal
2:00PM - Meal","6:30AM - Pre-Snack
10:00AM - Post-Snack
9:00AM - Pre-Snack
11:00AM - Meal
2:00PM - Meal","6:30AM - Pre-Snack
11:00AM - Post-Snack
9:00AM - Pre-Snack
11:00AM - Meal
2:00PM - Meal","6:00AM - Pre-Meal
10:00AM - Post-snack
3:00AM - Meal
7:00AM - Pre-meal
11:00AM - Post-snack","6:00AM - Pre-Meal
11:00AM - Post-snack
3:00AM - Meal
7:00AM - Pre-meal
11:00AM - Post-snack","6:00AM - Pre-Meal
12:00PM - Post-snack
3:00AM - Meal
7:00AM - Pre-meal
11:00AM - Post-snack","7:00AM - Pre-Meal
9:00AM - Pre-Snack
7:00AM - Pre-Meal
9:00AM - Pre-snack
11:00AM - Meal","7:00AM - Pre-Meal
9:00AM - Pre-Snack
7:00AM - Pre-Meal
9:00AM - Pre-snack
11:00AM - Meal","7:00AM - Pre-Meal
9:00AM - Pre-Snack
7:00AM - Pre-Meal
9:00AM - Pre-snack
11:00AM - Meal","8:00AM - Pre-Meal
10:00AM - Pre-Snack
12:00PM - Post-Snack
11:00AM - Meal
2:00PM - Snack","8:00AM - Pre-Meal
10:00AM - Pre-Snack
1:00PM - Post-Snack
11:00AM - Meal
2:00PM - Snack","8:00AM - Pre-Meal
10:00AM - Pre-Snack
2:00PM - Post-Snack
11:00AM - Meal
2:00PM - Snack","9:00AM - Pre-Meal
11:00AM - Pre-Snack
1:00PM - Meal
11:00AM - Post-Snack
1:00PM - Meal","9:00AM - Pre-Meal
11:00AM - Pre-Snack
2:00PM - Meal
11:00AM - Post-Snack
1:00PM - Meal","9:00AM - Pre-Meal
11:00AM - Pre-Snack
3:00PM - Meal
11:00AM - Post-Snack
1:00PM - Meal","10:00AM - Pre-Meal
12:00PM - Pre Snack
2:00PM - Meal
7:00AM - Pre-Meal
11:00AM - Post-snack","10:00AM - Pre-Meal
12:00PM - Pre Snack
3:00PM - Meal
7:00AM - Pre-Meal
11:00AM - Post-snack","10:00AM - Pre-Meal
12:00PM - Pre Snack
4:00PM - Meal
7:00AM - Pre-Meal
11:00AM - Post-snack","7:00AM - Meal
11:00AM - Pre-Meal
1:00PM - Pre-Snack
3:00PM - Post-snack
11:00AM - Meal","7:00AM - Meal
11:00AM - Pre-Meal
1:00PM - Pre-Snack
4:00PM - Post-snack
11:00AM - Meal","7:00AM - Meal
11:00AM - Pre-Meal
1:00PM - Pre-Snack
5:00PM - Post-snack
11:00AM - Meal","8:00AM - Meal
12:00PM - Pre-Meal
4:00PM - Meal
9:00AM - Pre-Snack
11:00AM - Post-snack","8:00AM - Meal
12:00PM - Pre-Meal
5:00PM - Meal
9:00AM - Pre-Snack
11:00AM - Post-snack","8:00AM - Meal
12:00PM - Pre-Meal
6:00PM - Meal
9:00AM - Pre-Snack
11:00AM - Post-snack","9:00AM - Meal
1:00PM - Pre-Meal
5:00PM - Post-snack
9:00AM - Pre-Snack
11:00AM - Meal","9:00AM - Meal
1:00PM - Pre-Meal
6:00PM - Post-snack
9:00AM - Pre-Snack
11:00AM - Meal","9:00AM - Meal
1:00PM - Pre-Meal
7:00PM - Post-snack
9:00AM - Pre-Snack
11:00AM - Meal","10:00AM - Meal
2:00PM - Pre-Meal
4:00PM - Pre-Snack
6:00PM - Post-snack
9:00AM - Pre-Snack
11:00AM - ps","10:00AM - Meal
2:00PM - Pre-Meal
4:00PM - Pre-Snack
7:00PM - Post-snack
9:00AM - Pre-Snack
11:00AM - ps","10:00AM - Meal
2:00PM - Pre-Meal
4:00PM - Pre-Snack
8:00PM - Post-snack
9:00AM - Pre-Snack
11:00AM - ps","7:00AM - Meal
10:00AM - Meal
3:00PM - Pre-meal
7:00PM - Post-snack
11:00AM - Post-snack","7:00AM - Meal
10:00AM - Meal
3:00PM - Pre-meal
8:00PM - Post-snack
11:00AM - Post-snack","7:00AM - Meal
10:00AM - Meal
3:00PM - Pre-meal
9:00PM - Post-snack
11:00AM - Post-snack","9:00AM - Meal
12:00PM - Meal
4:00PM - Pre-meal
8:00PM - Post-snack
11:00AM - Post-snack","9:00AM - Meal
12:00PM - Meal
4:00PM - Pre-meal
9:00PM - Post-snack
11:00AM - Post-snack","9:00AM - Meal
12:00PM - Meal
4:00PM - Pre-meal
10:00PM - Post-snack
11:00AM - Post-snack","10:00AM - Meal
1:00PM - Meal
5:00PM - Pre-meal
9:00PM - Post-snack
11:00AM - Post-snack","10:00AM - Meal
1:00PM - Meal
5:00PM - Pre-meal
10:00PM - Post-snack
11:00AM - Post-snack","10:00AM - Meal
1:00PM - Meal
5:00PM - Pre-meal
11:00PM - Post-snack
11:00AM - Post-snack","11:00AM - Meal
2:00PM - Meal
6:00PM - Pre-meal
10:00PM - Post-snack
11:00AM - Post-snack","11:00AM - Meal
2:00PM - Meal
6:00PM - Pre-meal
11:00PM - Post-snack
11:00AM - Post-snack","11:00AM - Meal
2:00PM - Meal
6:00PM - Pre-meal
12:00AM - Post-snack
11:00AM - Post-snack"
