Table 1
,CALCULATION,OUTPUT,When to use:,WHAT IS THE RESULT OF THIS
Step 1: ,"Complete RMR Equation (Harris Benedict, Cunningham) ",,,
Basic Cal Needs,"Male HB Equation (height, weight, age) ",66.473+(13.7516*wt in kg)+(5.0033*ht in cm)-(6.755*age),"all males with ht, wt, age",basic calorie needs if they were to do no exercise at all
,"Female HB Equation (weight, weight, age)",655.0955+(9.5634*wt in kg)+(1.8496*ht in cm)-(4.6756*age),"all females with ht, wt, age",basic calorie needs if they were to do no exercise at all
,,,,basic calorie needs if they were to do no exercise at all
,Male/Female Cunningham equation ,(500)+(22*Lean Body Mass in kg),"if a male or female enters a body fat %, the app will have to calculate thier lean body mass (150# with 20% body fat 120#/2.2 = 55kg of lean body mass) and use this equation IN ADDITION TO the one in step 1 and average them ",basic calorie needs if they were to do no exercise at all
,,,,
Step 2:,Activity Factor ,,Body Mass = 150# ,
Total Daily Calories,Sedentary (little or no exercise),1.2,Body Fat % = 18%,calorie needs based on above # + activity 
,Lightly active (light exercise/sports 1-3 days/week),1.4,Fat Mass = 150*.18 = 27# Fat,
,Moderately active (moderate exercise 3-5 days/week),1.6,Lean Body Mass = 150-27 = 123#/2.2 =56 LBM in kg,
,Very Active (hard exercise/sports 6-7 days/week),1.75,(500) + (22*56kg) ,
,Extra activity (hard exercise + physical job or 2x/day training),1.9,,
,,,,
Determine MACROS by Sport,,,,
,,,,
Sport Name,Carbs (g/kg),Protein (g/kg),,
Baseball,3-5g/kg/d,1.2-1.7g/kg/d,,
Basketball,5-7g/kg/d,1.4-1.7g/kg/d,,
Bodybuilding ,5-7g/kg/d,1.4-1.7g/kg/d,,
Cycling,7-10g/kg/d,1.2-1.7g/kg/d,,
Field Events,5-7g/kg,1.2-1.7g/kg,,
Figure Skating,3-6g/kg,1.2-1.7g/kg,,
Football,>5g/kg (7-12 may be needed for rigorous training),1.4-1.7g/kg,,
Golf,3-5g/kg,1.2-1.7 (usually near the lower end of the range),,
Gymnastics,3-5g/kg,1.2-1.7g/kg,,
Ice Hockey,Daily intake >5g/kg; 8-10 during training and competition ,1.4-1.7g/kg,,
Martial Arts,5-7,1.2-1.7,,
Rowing,5-7,1.2-1.7,,
Soccer,>5g/kg  usually 7-12 during training and competition,1.4-1.7,,
Swimming,7-12g/kg,1.2-1.7,,
Tennis,7-12g/kg,1.2-1.7,,
Track EVents,,,,
"Very High intensity, brief duration (100-400m)",5-7g/kg,1.2-1.7,,
"High intense, short duration (800-10,000)",5-7g/kg,1.2-1.7,,
Wrestling,5-7,1.2-1.7     Could increase to 2g/kg at times of lower energy intake) ,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Factor in Moderate,,,,
Factor in Intense,,,,
