Table 1
Birthday,3/21/1988,,,,,,,
Age in years,30,,,,,,,
Gender,Male,,,,,,,
Weight (lbs),186,,,,,,,
Height (in),0,,,,,,,
Body fat %,,,,,,,,
Activity,Heavy Activity,,,,,,,
Weight Goal,Lose 1/2 lb / week,,,,,,,
Weight (kg),84.368112,,,,,,,
Height (cm),0,,,,,,,
Lean Body Mass (kg),,,,,,,,
,,,,,,,,
Correct Daily Calories,1542.0341757136,,,,,,,
Correct Daily Carbs,590.576784,,,,,,,
Correct Daily Protein,101.2417344,,,,,,,
,,,,,,,,
Recommendations,,,,,,,,
,Actual Schedule,Carbs,Protein,Calories,Correct Schedule,Carbs,Protein,Calories
Day 1,4am snack,104,0,224,Meal - 9am,131.40333444,27.4196364,385.5085439284
,5am meal,240,31,448,Pre-Meal - 3hr before exercise,177.1730352,25.3104336,385.5085439284
,8am meal,183,37,448,Pre-Snack - 1hr before exercise,76.77498192,0,192.7542719642
,8am snack,91,18,224,4:49pm moderate endurance for 1 hour,,,
,4:49pm moderate endurance for 1 hour,,,,Post-Snack - on completion of exercise,73.822098,21.092028,192.7542719642
,5:49pm meal,183,37,448,Meal - 3hr after completion of exercise,131.40333444,27.4196364,385.5085439284
,Total,801,123,1792,Total,590.576784,101.2417344,1542.0341757136
,Recommended Total,801,122,1792,Recommended Total,590.576784,101.2417344,1542.0341757136
Day 2,4:48am snack,100,0,224,Meal - 8:48am,131.40333444,37.9656504,385.5085439284
,5:48am meal,321,31,448,Pre-Meal - 12:48pm,177.1730352,25.3104336,385.5085439284
,8:48am meal,140,35,448,Pre-Snack - 1:48pm,76.77498192,0,192.7542719642
,2:48pm intense endurance for 1 hour,,,,2:48pm intense endurance for 1 hour,,,
,3:48pm snack,100,21,224,Post-Snack - 3:48pm,73.822098,0,192.7542719642
,6:48pm meal,140,35,448,Meal - 6:48pm,131.40333444,37.9656504,385.5085439284
,Total,801,122,1792,Total,590.576784,101.2417344,1542.0341757136
,Recommended Total,801,122,1792,Recommended Total,590.576784,101.2417344,1542.0341757136
Day 3,4:48am snack,100,0,224,Meal - 8:48am,131.40333444,27.4196364,385.5085439284
,5:48am meal,321,31,448,Pre-Meal - 12:48pm,177.1730352,25.3104336,385.5085439284
,8:48am meal,140,35,448,Pre-Snack - 1:48pm,76.77498192,0,192.7542719642
,2:48pm intense endurance for 1 hour,,,,2:48pm intense endurance for 1 hour,,,
,3:48pm snack,100,21,224,Post-Snack - 3:48pm,73.822098,21.092028,192.7542719642
,6:48pm meal,140,35,448,Meal - 6:48pm,131.40333444,27.4196364,385.5085439284
,Total,801,122,1792,Total,590.576784,101.2417344,1542.0341757136
,Recommended Total,801,122,1792,Recommended Total,590.576784,101.2417344,1542.0341757136
