Table 1
Birthday,8/21/1988,,,,,,,,
Age in years,37.0027777777778,,,,,,,,
Gender,Male,,,,,,,,
Weight (lbs),215,,,,,,,,
Height (in),74,,,,,,,,
Body fat %,10%,,,,,,,,
Activity,Moderate Activity,,,,,,,,
Weight Goal,Maintain Weight,,,,,,,,
Weight (kg),97.52228,,,,,,,,
Height (cm),187.96,,,,,,,,
Lean Body Mass (kg),8777%,,,,,,,,
,,,,,,,,,
,No Exercise,,,,,,,,
Correct Daily Calories,348731%,,,,,,,,
Correct Daily Carbs,487.6114,,,,,,,,
Correct Daily Protein,151.159534,,,,,,,,
,,,,,,,,,
Recommendations,,,,,,,,,
,Actual Schedule,Carbs,Protein,Calories,Expected Schedule,Carbs,Protein,Calories,
Day 1,8am meal,144,37,848,9am meal,121.90285,37.7898835,87183%,
,10am snack,72,18,424,11am snack,60.951425,18.89494175,43591%,
,12pm meal,144,37,848,1pm meal,121.90285,37.7898835,87183%,
,3pm snack,72,18,424,4pm snack,60.951425,18.89494175,43591%,
,6pm meal,144,37,848,7pm meal,121.90285,37.7898835,87183%,
,,,,,,,,,
,Total,576,147,3392,Total,487.6114,151.159534,348731%,
,Recommended Total,574,148,3392,Recommended Total,487.6114,151.159534,348731%,
Day 2,4:50am snack,72,0,424,4:50am snack,60.951425,0,43591%,
,5:50am moderate power exercise for 1h5m,,,,5:50am moderate power exercise for 1h5m,,,,
,6:55am snack,72,24,424,6:55am snack,60.951425,24.38057,43591%,
,9:55am meal,144,41,848,9:55am meal,121.90285,42.2596546666667,87183%,
,3:55pm meal,144,41,848,12:55pm meal,121.90285,42.2596546666667,87183%,
,12:55am meal,144,41,848,3:55pm meal,121.90285,42.2596546666667,87183%,
,Total,576,147,3392,Total,487.6114,151.159534,348731%,
,Recommended Total,574,148,3392,Recommended Total,487.6114,151.159534,348731%,
Day 3,9am meal,144,37,903,9am meal,143.561868,37.0868159,902.966786318507,
,,,,,,,,,
,11am snack,72,19,451,11am snack,71.780934,18.54340795,451.483393159253,
,1pm meal,144,37,903,1pm meal,143.561868,37.0868159,902.966786318507,
,4pm snack,72,19,451,4pm snack,71.780934,18.54340795,451.483393159253,
,7pm meal,144,37,903,7pm meal,143.561868,37.0868159,902.966786318507,
,Total,576,149,3611,Total,574.247472,148.3472636,3611.86714527403,
,Recommended Total,574,148,3612,Recommended Total,487.6114,151.159534,348731%,
Day 4,7:50am meal,201,37,903,7:50am pre-meal,170.66399,37.7898835,87183%,
,9:50am snack,72,0,451,9:50am pre-snack,60.951425,0,43591%,
,10:50am intense power for 1hr,,,,10:50am intense power for 1hr,,,,
,11:50am snack,72,24,451,11:50am post-snack,60.951425,24.38057,43591%,
,2:50pm meal,115,44,903,2:50pm meal,97.52228,44.49454025,87183%,
,8:50pm meal,115,44,903,5:50pm meal,97.52228,44.49454025,87183%,
,Total,575,149,3611,Total,487.6114,151.159534,348731%,
,Recommended Total,574,148,3612,Recommended Total,487.6114,151.159534,348731%,
Day 5,9am meal,129,44,903,9am meal,109.712565,44.49454025,87183%,
,12pm meal,129,44,903,12pm meal,109.712565,44.49454025,87183%,
,4:45pm meal,172,37,903,4:45pm meal,146.28342,37.7898835,87183%,
,6:45pm snack,72,0,451,6:45pm snack,60.951425,0,43591%,
,7:45pm moderate power for 1hr,,,,7:45pm moderate power for 1hr,,,,
,8:45pm snack,72,24,451,8:45pm snack,60.951425,24.38057,43591%,
,Total,574,149,3611,Total,487.6114,151.159534,348731%,
,Recommended Total,574,148,3612,Recommended Total,487.6114,151.159534,348731%,
Day 6,6:40am moderate power for 1 hr,,,,5:10am pre snack,60.951425,0,43591%,
,9am meal,144,37,903,6:40am moderate power for 1hr,,,,
,11am snack,72,19,451,7:40am meal,109.712565,44.49454025,87183%,
,1pm meal,144,37,903,10:40am meal,109.712565,44.49454025,87183%,
,4pm snack,72,19,451,4:45pm pre meal,146.28342,37.7898835,87183%,
,7pm meal,144,37,903,7:45pm moderate power for 1hr,,,,
,7:45pm moderate power for 1hr,,,,8:45pm post snack,60.951425,24.38057,43591%,
,Total,576,149,3611,Total,487.6114,151.159534,348731%,
,Recommended Total,574,148,3612,Recommended Total,487.6114,151.159534,348731%,
Day 7,8am meal,129.2,43.7,869,8am meal,109.712565,44.49454025,87183%,
,11am meal,172.3,37.1,869,11am pre meal,146.28342,37.7898835,87183%,
,1pm snack,71.8,0,434.5,1pm pre snack,60.951425,0,43591%,
,2pm moderate endurance for 1.5hr,,,,2pm moderate endurance for 1.5hr,,,,
,3:30pm snack,71.8,23.9,434.5,3:30pm post snack,60.951425,24.38057,43591%,
,6:30pm meal,129.2,43.7,869,6:30pm meal,109.712565,44.49454025,87183%,
,,,,,,,,,
,Total,574.3,148.4,3476,Total,487.6114,151.159534,348731%,
,Recommended Total,574,148,3476,Recommended Total,487.6114,151.159534,348731%,
