Table 1
Practice Time,First >,5:00:00 AM,5:00:00 AM,5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second v,Duration (hrs),<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs
10:00:00 AM,<1.5hr,"Pre-Snack - 1.5 before first exercise (start time of pre-snack should be 1.5 hours before start time of first exercise) 
Meal - completion of first exercise (start time of meal should = end time of exercise) 
Post-Snack - completion of second exercise (start time for snack should = the end time of exercise)   
Meal - 2 after last meal (start time should be 2 hours after start time of previous meal or snack)      
Meal - 3 after last meal (start time should be 3 hours after the start time of previous meal or snack) ",,"Pre-Snack - 1.5 before first exercise        
Post-Snack - completion of first exercise        
Pre Snack - 1 before second exercise        
Meal - completion of second exercise        
Meal - 3 after last meal        
Meal - 3 after last meal        ","Pre-Snack - 1.5 before first exercise        
Meal - completion of first exercise        
Post-snack - completion of second exercise        
Meal - 3 after last meal        
Meal - 3 after last meal        ","Pre-Snack - 1.5 before first exercise        
Post Snack - completion of first exercise        
Meal - completion of second exercise        
Meal - 3 after last meal        
Meal - 3 after last meal",,"Pre-Snack - 1.5 before first exercise	
Post Snack - completion of first exercise	
Meal - completion of second exercise	
Meal - 3 after last meal	
Meal - 3 after last meal",,,"Pre-Meal	3 before first exercise	
Pre-snack	1 before first exercise	
Meal	completion of second exercise	
Snack	3 after last meal	
Meal	3 after last meal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00:00 AM,>=1.5 & < 2.5hrs,,,,"FAIL - post-snack and meal are switched (there should be a meal following the first exercise and a post-snack following the second exercise)  
4:30-6:45am snack. 
WHAT I SAW: 
6am - 7am exercise
7-8am snack 
10am-12pm exercise
12-1pm meal 
3-4pm meal 
6-7pm meal ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00:00 AM,>=2.5hrs,,,,"fail - same as above -> those results are ok, I think there was a mistake on the exercise order (durations)",,,pass,pass,pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1.5hr,"Pre-Snack - 1.5 before first exercise	
Meal - completion of first exercise	
Post-Snack - completion of second exercise	
Meal - 2 after last meal	
Meal - 3 after last meal",,,"Pre-Snack - 1.5 before first exercise	
Meal - completion of first exercise	
Post-snack - completion of second exercise	
Meal - 3 after last meal	
Meal - 3 after last meal",,"Pre-Snack - 1.5 before first exercise	
Post Snack - completion of first exercise	
Meal - completion of second exercise	
Meal - 3 after last meal	
Meal - 3 after last meal","Pre-Snack - 1.5 before first exercise        
Meal - completion of first exercise        
Post-snack - completion of second exercise        
Meal - 3 after last meal        
Meal - 3 after last meal","Pre-Snack	1.5 before first exercise	
Post Snack	completion of first exercise	
Meal	completion of second exercise	
Meal	3 after last meal	
Meal	3 after last meal",,"Pre-Meal        3 before first exercise        
Pre-snack        1 before first exercise        
Meal        completion of second exercise        
Snack        3 after last meal        
Meal        3 after last meal        ",,,"Pre-Meal	3 before first exercise	
Pre-snack	1 before first exercise	
Post-Snack	completion of first exercise	
Meal	completion of second exercise	
Meal	5 after last meal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>=1.5 & < 2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>=2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1.5hr,"Pre-Snack        1.5 before first exercise        
Pre-Meal        completion of first exercise        
Pre-Snack        1 before second exercise        
Meal        completion of second exercise        
Meal        3 after last meal",,,,,,"Pre-Snack - 1.5 before first exercise        
Pre-Meal - completion of first exercise        
Pre-Snack - 1 before second exercise        
Meal - completion of second exercise        
Meal - 3 after last meal",,"Pre-Snack - 1.5 before first exercise	
Post-Snack - completion of first exercise	
Pre-Snack - 1 before second exercise	
Meal - completion of second exercise	
Meal - 4 after last meal","Pre-Snack	1.5 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise	
Meal	4 after last meal	","Pre-Snack	1.5 before first exercise	
Post-Snack	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise	
Meal	3 after last meal	",,"Pre-Meal	3 before first exercise	
Pre-snack	1 before first exercise	
Post-Snack	completion of first exercise	
Meal	completion of second exercise	
Meal	5 after last meal	",,,"Pre-Meal	3 before first exercise	
Pre-snack	1 before first exercise	
Post-Snack	completion of first exercise	
Meal	completion of second exercise	
Meal	5 after last meal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>=1.5 & < 2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>=2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1.5hr,,,,,,,"Pre-Snack - 1.5 before first exercise        
Pre-Meal - completion of first exercise        
Pre-Snack - 1 before second exercise        
Meal - completion of second exercise        
Meal - 3 after last meal
FAIL - timings are correct but the Pre-meal is listed as a snack and the Pre-snack is listed as a meal","Pre-Snack - 1.5 before first exercise - pass     
Pre-Meal - completion of first exercise fail - it's a snack      
Pre-Snack - 1 before second exercise - fail, it's a meal
Meal - completion of second exercise - pass
Meal - 3 after last meal - pass",FAIL - timings are correct but the Pre-meal is listed as a snack and the Pre-snack is listed as a meal,"Pre-Snack        1.5 before first exercise        
Pre-Meal        completion of first exercise        
Pre-Snack        1 before second exercise        
Meal        completion of second exercise        
Meal        4 after last meal",,"Pre-Snack	1.5 before first exercise	
Post-Snack	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise	
Meal	3 after last meal","Pre-Meal        2 before first exercise        
Post-snack        completion of first exercise        
Meal        completion of second exercise        
Meal        3 after last meal .        Snack        2 after last meal",,,"Pre-Meal        3 before first exercise        
Post-snack        completion of first exercise        
Meal        completion of second exercise        
Meal        3 after last meal        
Snack        2 after last meal",,,"Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Meal	completion of second exercise	
Meal	3 after last meal	
Snack	2 after last meal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
