Table 1
,Information to collect at Registration,,,,,,,,,,,,,,,,,,,,,,,,,
,AGE,WEIGHT,HEIGHT,ACTIVITY LEVEL,WEIGHT GOAL,Body Fat %,SPORT,,,,,,,,,,,,,,,,,,,
Options to select,Put birthdate or actual age,Put exact weight,Put height in feet and inches,No activity,LOSE 1/2 LB/WK,Put if you have it,Sport Name,Carbs - Lose (g/kg),Carbs - Gain (g/kg),Carbs - Maintain (g/kg),Protein - Lose (g/kg),Protein - Gain (g/kg),Protein - Maintain (g/kg),Carbs (g/kg),Protein (g/kg),,,,,,,,,,,
,,,,Light activity,LOSE 1LB/WK,,Baseball,3,5,4,1.2,1.7,1.45,3-5g/kg/d,1.2-1.7g/kg/d,,,,,,,,,,,
,,,,Moderate activity,MAINTAIN,,Basketball,5,7,6,1.4,1.7,1.55,5-7g/kg/d,1.4-1.7g/kg/d,,,,,,,,,,,
,,,,Heavy activity,GAIN 1/2 LB/WK,,Bodybuilding ,5,7,6,1.4,1.7,1.55,5-7g/kg/d,1.4-1.7g/kg/d,,,,,,,,,,,
,,,,Very heavy activity,GAIN 1LB/WK,,Cycling,7,20,13.5,1.2,1.7,1.45,7-10g/kg/d,1.2-1.7g/kg/d,,,,,,,,,,,
,,,,,,,Field Events,5,7,6,1.2,1.7,1.45,5-7g/kg,1.2-1.7g/kg,,,,,,,,,,,
,,,,,,,Figure Skating,3,6,4.5,1.2,1.7,1.45,3-6g/kg,1.2-1.7g/kg,,,,,,,,,,,
,,,,,,,Football,7,12,9.5,1.4,1.7,1.55,>5g/kg (7-12 may be needed for rigorous training),1.4-1.7g/kg,,,,,,,,,,,
,,,,,,,Golf,3,5,4,1.2,1.7,1.45,3-5g/kg,1.2-1.7 (usually near the lower end of the range),,,,,,,,,,,
,,,,,,,Gymnastics,3,5,4,1.2,1.7,1.45,3-5g/kg,1.2-1.7g/kg,,,,,,,,,,,
,,,,,,,Ice Hockey,8,10,9,1.4,1.7,1.55,Daily intake >5g/kg; 8-10 during training and competition ,1.4-1.7g/kg,,,,,,,,,,,
,,,,,,,Martial Arts,5,7,6,1.2,1.7,1.45,5-7,1.2-1.7,,,,,,,,,,,
,Baseball player,68 kg,Grams,Calories,,,Rowing,5,7,6,1.2,1.7,1.45,5-7,1.2-1.7,,,,,,,,,,,
,CHO,4g/kg CHO,272,1088,55%,,Soccer,7,12,9.5,1.4,1.7,1.55,>5g/kg  usually 7-12 during training and competition,1.4-1.7,,,,,,,,,,,
,Pro,1.4g/kg,95.2,380.8,20%,,Swimming,7,12,9.5,1.2,1.7,1.45,7-12g/kg,1.2-1.7,,,,,,,,,,,
,Fat,remaining cals,59,531,25%,,Tennis,7,12,9.5,1.2,1.7,1.45,7-12g/kg,1.2-1.7,,,,,,,,,,,
,,,,,,,Squash,7,12,9.5,1.2,1.7,1.45,7-12g/kg,1.2-1.7,,,,,,,,,,,
,,,,2000 calories ,,,Short distance sprinting (100-400m),5,7,6,1.2,1.7,1.45,5-7g/kg,1.2-1.7,,,,,,,,,,,
,,,,532,,,"Long distance running (800-10,000)",5,7,6,1.2,1.7,1.45,5-7g/kg,1.2-1.7,,,,,,,,,,,
,,,,59.1111111111111,,,Wrestling,5,7,6,1.2,1.7,1.45,5-7,1.2-1.7     Could increase to 2g/kg at times of lower energy intake) ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,total calories ,,,,,,,,,,,,,,,,,,,,,,,,,
,CHO,50%,,,,,,,,,,,,,,,,,,,,,,,,
,Protein,25%,,,,,,,,,,,,,,,,,,,,,,,,
,Fat,25%,,,,,,,,,,,,,,,,,,,,,,,,
