Table 1
Carb & Protein Breakdown by Meal Type,,,,,,,,,,,,,,,,,,,,,,,,,
Meal,25%,There will always be 3 meals and 2 snacks in the 0 or 1 practice scenarios,,,,,,,,,,,,,,,,,,,,,,,
Snack,12.50%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Old,,,,,,,,,New,,,,,,,,,,,,,,,,
Meal,Type,Intensity,CHO,Protein,"MEAL TYPE <> EXERCISE TYPE <> INTENSITY MAP
(decimal values are g/kg of user's bodyweight)",,,,Meal,Type,Intensity,CHO,Protein,,Meal,Type,Intensity,CHO,Protein,,,,,,
Pre-Meal,Power,Moderate,27.5%,25%,,,,,Pre-Meal,Power,Moderate,27.5%,25%,,Pre-Meal,Power,Moderate,27.5%,25%,,,,,,
Pre-Snack,Power,Moderate,12.50%,0%,,,,,,,,,,,Pre-Meal,Power,Intense,30.0%,25%,,,,,,
Post-Snack,Power,Moderate,12.50%,0.25,,,,,,,,,,,Pre-Snack,Endurance,Moderate,12.5%,0%,,,,,,
Pre-Meal,Power,Intense,30.0%,25%,,,,,Pre-Meal,Power,Intense,30.0%,25%,,Pre-Meal,Endurance,Intense,32.5%,25%,,,,,,
Pre-Snack,Power,Intense,12.5%,0%,,,,,,,,,,,,,,,,,,,,,
Post-Snack,Power,Intense,12.5%,0.25,,,,,,,,,,,,,,,,,,,,,
Pre-Meal,Endurance,Moderate,30.0%,25%,,,,,,,,,,,,,,,,,,,,,
Pre-Snack,Endurance,Moderate,12.5%,0%,,,,,Pre-Snack,Endurance,Moderate,12.5%,0%,,,,,,,,,,,,
Post-Snack,Endurance,Moderate,12.5%,0.25,,,,,,,,,,,,,,,,,,,,,
Pre-Meal,Endurance,Intense,32.5%,25%,,,,,Pre-Meal,Endurance,Intense,32.5%,25%,,,,,,,,,,,,
Pre-Snack,Endurance,Intense,12.5%,0%,,,,,,,,,,,,,,,,,,,,,
Post-Snack,Endurance,Intense,12.5%,0.25,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
User Weight (kg),,,97.5,,"CARB AND PROTEIN DAILY RECOMMENDATION
1. Look up user sport
2. Get user.weight_goal value of carb/protein in sport table
3. Multiply #2 by user.weight (in kg)",,,,,,,,,,,,,,,,,,,,
Sport,,,Baseball,,,,,,,,,,,,,,,,,,,,,,
User Weight Goal,,,Maintain weight,,,,,,,,,,,,,,,,,,,,,,
From Sport Model,Carb requirement (g/kg),Power,Maintain weight,4,,,,,,,,,,,,,,,,,,,,,
