Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 practice,,,,,Before 9am,9:00 AM,,,10:00,,,11:00 AM,,,12:00 AM,,,1:00 PM,,,2:00 PM,,,3:00 PM,,,4:00 PM,,,5:00 PM,,,6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5am 1hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,1hr,2hr,3hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4am snack,7am meal,7am meal,7am meal,7am meal,7am meal,7am meal,8am meal,8am meal,8am meal,9am meal,9am meal,9am meal,10am meal,10am meal,10am meal,8am meal,8am meal,8am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,9am meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6am snack,8am snack,8am snack,8am snack,9am snack,9am snack,9am snack,10am snack,10am snack,10am snack,11am snack,11am snack,11am snack,12pm snack,12pm snack,12pm snack,11am meal,11am meal,11am meal,12pm meal,12pm meal,12pm meal,1pm meal,1pm meal,1pm meal,2pm meal,2pm meal,2pm meal,12pm snack,12pm snack,12pm snack,12pm meal,12pm meal,12pm meal,12pm meal,12pm meal,12pm meal,12pm meal,12pm meal,12pm meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9am meal,10am snack,11am snack,12pm snack,11am snack,12pm snack,1pm snack,12pm snack,1pm snack,2pm snack,1pm snack,2pm snack,3pm snack,2pm snack,3pm snack,4pm snack,1pm snack,1pm snack,1pm snack,2pm snack,2pm snack,2pm snack,3pm snack,3pm snack,3pm snack,4pm snack,4pm snack,4pm snack,3pm meal,3pm meal,3pm meal,4pm meal,4pm meal,4pm meal,5pm meal,5pm meal,5pm meal,6pm meal,6pm meal,6pm meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12pm meal,1pm meal,2pm meal,3pm meal,2pm meal,3pm meal,4pm meal,3pm meal,4pm meal,5pm meal,4pm meal,5pm meal,6pm meal,5pm meal,6pm meal,7pm meal,3pm snack,4pm snack,5pm snack,4pm snack,5pm snack,6pm snack,5pm snack,6pm snack,7pm snack,6pm meal,7pm meal,8pm meal,5pm snack,5pm snack,5pm snack,6pm snack,6pm snack,6pm snack,7pm snack,7pm snack,7pm snack,8pm snack,8pm snack,8pm snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3pm meal,4pm meal,5pm meal,6pm meal,5pm meal,6pm meal,7pm meal,6pm meal,7pm meal,8pm meal,7pm meal,8pm meal,9pm meal,8pm meal,9pm meal,10pm meal,6pm meal,7pm meal,8pm meal,7pm meal,8pm meal,9pm meal,8pm meal,9pm meal,10pm meal,9pm snack,10pm snack,11pm snack,7pm meal,8pm meal,9pm meal,8pm snack,9pm snack,10pm snack,9pm snack,10pm snack,11pm snack,10pm snack,11pm snack,12am snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1hr,2hr,3hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2 PRACTICE RULES,,,,Always do 1 hour pre-snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If practices are 7+ hours difference in time apart, do post meal straight after, pre meal and pre snack",,,,Always do post-meal on completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If practices are within 4-7 hours apart, follow general time trends",,,,Always do pre meal 4 hours before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If practices are within 3 to 4 hours, offer pre meal straight after and pre snack",,,,Do pre-snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If practices are within 2-3 hours, offer Post Snack and Pre Snack only",,,,"Add post-meal on completion if completion before 9pm, or add snack if after",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,If Practices are less than 2 hours apart off Post Snack until 30 mins before,,,,"If post-meal cannot be added, add as 2 hour pre-breakfast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2 PRACTICE RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If practices are 7+ hours difference in time apart, do post meal straight after, pre meal and pre snack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If practices are within 4-7 hours apart, follow general time trends",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If practices are within 3 to 4 hours, offer pre meal straight after and pre snack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"If practices are within 2-3 hours, offer Post Snack and Pre Snack only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,If Practices are less than 2 hours apart off Post Snack until 30 mins before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ADJUSTMENTS,,,,,,,6am-7am,,,7am-8am,,,,,8am-9am,,,,,9am-10am,,,,10am-11am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Check consumption after every meal,,,,,,,If Practice 1 = 1hour,,,,,,,,,If Practice 1 = 1hour,,,,If Practice 1 = 1hour,,,,If Practice 1 = 1hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"For calories, protein, and carbohydrates:",,,,,,10am-11am,Pre-Snack,1.5 before first exercise,,10am-11am,Pre-Snack,1.5 before first exercise,,,10am-11am,Pre-Meal,3 before first exercise,,11am-12pm,Pre-Meal,3 before first exercise,,12pm-1pm,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,temp_adjustment = (recommended - consumed) / (remaining_meals),,,,,,,Meal,completion of first exercise,,,Post Snack,completion of first exercise,,,,Pre-snack,1 before first exercise,,,Pre-snack,1 before first exercise,,,Pre-snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,real_adjustment = absolute_value(temp_adjustment) / recommended > 5% ? (sign)5%*recommended : recommended_adjustment,,,,,,,Post-snack,completion of second exercise,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,Post-Snack,completion of first exercise,,,Post-Snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,new_future_meal = recommended + real_adjustment,,,,,,,Meal,3 after last meal,,,Meal,3 after last meal,,,,Snack,3 after last meal,,,Meal,completion of second exercise,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,3 after last meal,,,Meal,3 after last meal,,,,Meal,3 after last meal,,,Meal,5 after last meal,,,Meal,5 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CALORIES,,,,,,,If Practice 1 = 2 or 3 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,meals are 25%,,,,,,,Pre-Snack,1.5 before first exercise,,11am-12pm,If Practice 1 = 2 or 3 hours,,,,,If Practice 1 = 1hour or 2 hours,,,,If Practice 1 = 1hour or 2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,snacks are 12.5%,,,,,,,Post Snack,completion of first exercise,,,Pre-Snack,1.5 before first exercise,,,11am-12pm,Pre-Meal,3 before first exercise,,12pm-1pm,Pre-Meal,3 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,completion of second exercise,,,Post Snack,completion of first exercise,,,,Pre-snack,1 before first exercise,,,Pre-snack,1 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Power,,Endurance,,,Meal,3 after last meal,,,Meal,completion of second exercise,,,,Meal,completion of second exercise,,,Post-Snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Moderate,Intense,Moderate,Intense,,Meal,3 after last meal,,,Meal,3 after last meal,,,,Snack,3 after last meal,,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3-4 hours PRE,CHO,3g/kg,3.5g/kg,3g/kg,4g/kg,11am-12pm,If Practice 1 = 1 or 2 hours,,,,Meal,3 after last meal,,,,Meal,3 after last meal,,,Meal,5 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PRO,Pro ((kg wt x 1.5g/kg)- 20g)/4,Pro ((kg wt x 1.6g/kg)- 20g)/4,Pro ((kg wt x 1.4g/kg)- 20g)/4,Pro ((kg wt x 1.5g/kg)- 20g)/4,,Pre-Snack,1.5 before first exercise,,,If Practice 1 = 1hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,completion of first exercise,,,Pre-Snack,1.5 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2 hour Pre,CHO,1.5g/kg,2g/kg,2g/kg,2.5g/kg,,Post-snack,completion of second exercise,,,Meal,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pro,Pro Recc (kg wt x 1.5g/kg daily - 20g for recovery/4 meals),Pro Recc (kg wt x 1.6g/kg daily - 20g for recovery/4 meals),Pro Recc (kg wt x 1.2g/kg daily - 20g for recovery/4 meals),Pro Recc (kg wt x 1.3g/kg daily - 20g for recovery/4 meals),,Meal,3 after last meal,,,Post-snack,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,3 after last meal,,,Meal,3 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30-60 min Pre,CHO,30g,45g,30g,45-60 g,,If Practice 1 = 3hours,,,,Meal,3 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pro*,N/A,N/A,N/A,N/A,,Pre-Snack,1.5 before first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Post Snack,completion of first exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 hour post,CHO,1.2g/kg,1.4g/kg,1.0g/kg,1.2g/kg,,Meal,completion of second exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pro,0.25g/kg,0.25g/kg,0.25g/kg,0.25g/kg,,Meal,3 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meal,3 after last meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REMAINDER OF MACROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
