Table 1
,,Daily Total,Per Meal Distribution,,,,,,,,
No exercise,Calories,"Based on formula, not practice","Snacks: 12.5%
Meals: remainder after snacks evenly distributed",,,,,,,,
,Protein,"A21:I35 - Based on sport, weight, and weight goal from registration",,,,,,,,,
,Carbs,,,,,,,,,,
1 practice,Calories,"Based on formula, not practice","Snacks: 12.5%
Meals: remainder after snacks evenly distributed",,,,,,,,
,Protein,"A21:I35 - Based on sport, weight, and weight goal from registration",A6:E18 - Based on meal type <> activity type/intensity - remainder of meals/snacks are distributed at [MEAL] = 2*[SNACK],,,,,,,,
,Carbs,,A6:E18 - Based on meal type <> activity type/intensity - remainder of meals/snacks are distributed at [MEAL] = 2*[SNACK],,,,,,,,
2 practice,Calories,"Based on formula, not practice","Snacks: 12.5%
Meals: remainder after snacks evenly distributed",,,,,,,,
,Protein,"A21:I35 - Based on sport, weight, and weight goal from registration",A6:E18 - Based on meal type <> activity type/intensity - remainder of meals/snacks are distributed at [MEAL] = 2*[SNACK],,,,,,,,
,Carbs,,A6:E18 - Based on meal type <> activity type/intensity - remainder of meals/snacks are distributed at [MEAL] = 2*[SNACK],,,,,,,,
,,,,,,,,,,,
Activity Multiple,No Exercise,One Exercise,Two Exercises,,,,,,,,
No Activity,1,1,1,,,,,,,,
Light Activity,1,1,1.1,,,,,,,,
Moderate Activity,0.9,1,1.1,,,,,,,,
Heavy Activity,0.9,1,1.1,,,,,,,,
Very Heavy Activity,0.9,1,1,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
User weight,72.57472,,,,,,,,,,
User weight goal,Maintain Weight,,,,,,,,,,
User Sport,Bodybuilding,,,,,,,,,,
User Activity,Heavy Activity,,,,,,,,,,
Sport carb ratio (for user's weight goal),5,,,,,,,,,,
Sport protein ratio (for user's weight goal),1.55,,,,,,,,,,
,,,,,,,,,,,
Nutrient Requirements for the day,No Exercise,One Exercise,Two Exercises,,,,,,,,
Required Calories,2495.32,2495.32,2495.32,,,,,,,,
Required Carbs,326.58624,362.8736,399.16096,,,,,,,,
Required Protein,112.490816,112.490816,112.490816,,,,,,,,
,,,,,,,,,,,
,,Distribution Schedule,Distribution Time,,,,,,,,
