Table 1
ENDURANCE SCENARIO- Intense,,,,,,,,,,,,,,,,,,,,,,,,,
,Breakfast,Lunch ,Pre Snack,Exercise,Post-snack,Dinner,2 Hour Pre Meal,,,,,,,,,,,,,,,,,,
Calorie %,25.0%,25.0%,12.5%,,12.5%,25.0%,15%,100.0%,,RULE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Macro % Carbs,25.0%,35.0%,12.5%,,12.5%,15.0%,15%,100.0%,,"Increase Carbs and decrease protein by x and y % for exercises that are Endurance/POWER and by Moderate v. Intense; distribute remaining macro % before practice if a full meal, or in another meal after",,,,,,,,,,,,,,,
Macro % Protein,25.0%,15.0%,12.5%,,12.5%,35.0%,15%,100.0%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ENDURANCE SCENARIO- Moderate,,,,,,,,,,,,,,,,,,,,,,,,,
,Breakfast,Lunch ,Pre Snack,Exercise,Post-snack,Dinner,2 Hour Pre Meal,,,,,,,,,,,,,,,,,,
Calorie %,25.0%,25.0%,12.5%,,12.5%,25.0%,15%,100.0%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Macro % Carbs,25.0%,30.0%,12.5%,,12.5%,20.0%,15%,100.0%,,,,,,,,,,,,,,,,,
Macro % Protein,25.0%,20.0%,12.5%,,12.5%,30.0%,15%,100.0%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Additional items,,,,,,,,,,,,,,,,,,,,,,,
,,Gluten/vegan label,,,,,,,,,,,,,,,,,,,,,,,
,,Custom entry area,,,,,,,,,,,,,,,,,,,,,,,
,,Filter for low and high calorie in DIY,,,,,,,,,,,,,,,,,,,,,,,
,,Tag sports to Power/Endurance,,,,,,,,,,,,,,,,,,,,,,,
