athlete_id,name,age,gender,sport_league,sport_type,height_cm,weight_kg,body_fat_percentage,bmr_calories,activity_level,training_experience_years,competition_level,user_scenario,goals,adherence_rate,created_date
ATH000001,Cricket Professional 1,39,M,Cricket,Skill,184,90,13.1,1961.0,Very High,17,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000002,Cricket Amateur Athlete 2,32,M,Cricket,Skill,185,78,10.9,1849.0,Very High,7,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000003,NBA Professional 3,37,M,NBA,Team Sport,187,114,7.8,2320.0,Very High,14,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000004,Cricket Weight Loss 4,28,M,Cricket,Skill,188,107,18.7,2289.0,Moderate,3,Recreational,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000005,Tennis Amateur Athlete 5,33,M,Tennis,Power,171,65,7.1,1593.0,High,3,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000006,Boxing Professional 6,19,M,Boxing,Power,175,58,11.7,1611.0,Very High,10,Professional,professional,"[""performance_optimization"", ""muscle_gain""]",0.85,2022-01-01
ATH000007,Tennis Fitness Enthusiast 7,18,F,Tennis,Power,152,60,20.0,1426.0,Moderate,2,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000008,Tennis Casual User 8,36,F,Tennis,Power,174,57,13.0,1354.0,Moderate,3,Recreational,casual_user,"[""general_health""]",0.45,2022-01-01
ATH000009,NBA Weight Gain 9,35,M,NBA,Team Sport,220,87,9.9,2127.0,Moderate,4,Recreational,weight_gain,"[""weight_gain"", ""muscle_gain""]",0.7,2022-01-01
ATH000010,NFL Amateur Athlete 10,22,M,NFL,Team Sport,191,107,11.5,2345.0,High,9,National,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000011,Soccer Elite Athlete 11,39,F,Soccer,Endurance,161,51,12.7,1258.0,Very High,14,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000012,Swimming Weight Loss 12,34,F,Swimming,Endurance,160,90,27.1,1653.0,Moderate,2,Recreational,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
ATH000013,Cricket Amateur Athlete 13,40,F,Cricket,Skill,163,62,17.1,1362.0,Very High,8,Regional,amateur_athlete,"[""endurance_improvement"", ""strength_improvement""]",0.75,2022-01-01
ATH000014,Boxing Elite Athlete 14,35,M,Boxing,Power,166,58,8.2,1458.0,Very High,18,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000015,NFL Fitness Enthusiast 15,28,M,NFL,Team Sport,175,154,15.0,2871.0,High,1,Club,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000016,Tennis Fitness Enthusiast 16,19,M,Tennis,Power,192,71,12.4,1875.0,High,4,Recreational,fitness_enthusiast,"[""general_health"", ""body_composition""]",0.65,2022-01-01
ATH000017,Tennis Elite Athlete 17,37,M,Tennis,Power,178,71,13.7,1683.0,Very High,18,Elite,elite_athlete,"[""performance_optimization"", ""recovery_enhancement""]",0.9,2022-01-01
ATH000018,Cycling Weight Loss 18,18,F,Cycling,Endurance,161,80,27.9,1634.0,High,5,Club,weight_loss,"[""weight_loss"", ""body_composition""]",0.6,2022-01-01
