performance_id,athlete_id,assessment_date,performance_score,improvement_percentage,nutrition_adherence,recovery_score_avg,sleep_hours_avg,user_scenario,sport_league
PERF00000001,ATH000001,2022-02-05,94.4,3.75,1.0,73.0,7.9,professional,Cricket
PERF00000002,ATH000001,2022-11-10,94.7,0.31,1.0,74.3,7.9,professional,Cricket
PERF00000003,ATH000001,2023-09-16,94.6,-0.07,1.0,69.7,8.1,professional,Cricket
PERF00000004,ATH000001,2024-07-29,87.0,-7.64,0.71,73.4,8.1,professional,Cricket
PERF00000005,ATH000001,2024-11-01,86.5,-0.49,0.71,71.7,8.1,professional,Cricket
PERF00000006,ATH000002,2022-04-03,63.0,4.37,0.0,77.5,8.4,amateur_athlete,Cricket
PERF00000007,ATH000002,2023-03-10,81.2,18.2,0.71,73.3,8.0,amateur_athlete,Cricket
PERF00000008,ATH000002,2023-08-12,81.0,-0.2,0.71,71.4,8.0,amateur_athlete,Cricket
PERF00000009,ATH000002,2024-05-13,79.2,-1.84,0.71,71.7,7.6,amateur_athlete,Cricket
PERF00000010,ATH000002,2024-10-09,87.4,8.19,1.0,72.0,7.6,amateur_athlete,Cricket
PERF00000011,ATH000003,2022-02-04,67.4,3.66,0.0,83.0,7.9,professional,NBA
PERF00000012,ATH000003,2022-06-26,95.3,27.9,1.0,76.0,7.9,professional,NBA
PERF00000013,ATH000003,2023-03-10,94.7,-0.57,1.0,74.6,7.9,professional,NBA
PERF00000014,ATH000003,2023-10-11,91.4,-3.27,0.86,76.4,8.0,professional,NBA
PERF00000015,ATH000003,2024-09-18,95.4,4.0,1.0,78.7,7.8,professional,NBA
PERF00000016,ATH000004,2022-01-12,95.7,0.4,1.0,79.0,8.8,weight_loss,Cricket
PERF00000017,ATH000004,2023-01-19,89.6,-6.13,1.0,74.3,7.9,weight_loss,Cricket
PERF00000018,ATH000004,2023-06-27,89.2,-0.36,1.0,72.0,7.9,weight_loss,Cricket
PERF00000019,ATH000004,2023-11-21,89.2,-0.04,1.0,70.3,8.0,weight_loss,Cricket
PERF00000020,ATH000004,2024-09-18,75.7,-13.53,0.57,69.1,8.0,weight_loss,Cricket
PERF00000021,ATH000005,2022-01-03,92.2,1.0,1.0,84.0,7.8,amateur_athlete,Tennis
PERF00000022,ATH000005,2023-01-18,82.5,-9.66,0.71,75.1,8.1,amateur_athlete,Tennis
PERF00000023,ATH000005,2023-08-07,82.2,-0.3,0.71,73.3,8.2,amateur_athlete,Tennis
PERF00000024,ATH000005,2024-08-30,81.2,-1.03,0.71,72.7,8.0,amateur_athlete,Tennis
