record_id,athlete_id,date,device_type,daily_steps,active_minutes,calories_burned_device,avg_heart_rate,max_heart_rate,resting_heart_rate,sleep_hours,sleep_quality_score,stress_score,recovery_score,is_training_day,user_scenario
WEAR00000001,ATH000001,2024-07-29,Garmin,8346,172,3033,151,155,59,7.7,70.4,41,62,True,professional
WEAR00000002,ATH000001,2024-03-24,Apple Watch,13850,141,1606,119,139,70,8.9,73.4,25,85,True,professional
WEAR00000003,ATH000001,2023-09-10,Fitbit,14258,184,2704,153,160,47,7.7,86.4,40,80,True,professional
WEAR00000004,ATH000001,2022-07-26,Garmin,14338,278,5190,169,175,46,7.9,79.2,48,81,True,professional
WEAR00000005,ATH000001,2023-07-28,Garmin,8882,160,3148,149,161,62,8.0,94.5,51,77,True,professional
WEAR00000006,ATH000001,2022-02-23,Apple Watch,8727,189,2471,135,159,52,7.1,88.4,48,78,True,professional
WEAR00000007,ATH000001,2022-11-10,Fitbit,10039,154,3036,148,155,47,8.7,84.1,42,63,True,professional
WEAR00000008,ATH000001,2023-01-18,Garmin,13531,177,2908,146,161,60,7.6,83.0,27,83,True,professional
WEAR00000009,ATH000001,2022-02-05,Apple Watch,8739,218,5084,155,176,68,7.9,82.1,25,73,True,professional
WEAR00000010,ATH000001,2022-04-12,Apple Watch,13369,166,1821,129,141,53,7.8,82.9,52,79,True,professional
WEAR00000011,ATH000001,2023-10-07,Fitbit,9094,182,2999,150,162,71,7.3,71.3,23,66,True,professional
WEAR00000012,ATH000001,2024-02-05,Apple Watch,9494,206,3124,144,156,61,8.2,81.1,58,66,True,professional
WEAR00000013,ATH000001,2024-01-31,Whoop,8652,177,2552,134,136,72,8.0,91.6,25,81,True,professional
WEAR00000014,ATH000001,2023-04-27,Fitbit,10516,179,2428,134,144,55,8.1,92.9,29,79,True,professional
WEAR00000015,ATH000001,2023-01-21,Whoop,9958,185,3226,148,154,55,7.7,75.1,50,61,True,professional
WEAR00000016,ATH000001,2022-03-15,Whoop,11602,157,2974,150,156,65,7.1,84.4,51,75,True,professional
WEAR00000017,ATH000001,2024-10-30,Garmin,12178,274,4348,141,160,68,8.8,87.5,22,69,True,professional
WEAR00000018,ATH000001,2023-03-21,Garmin,14576,219,4329,153,159,74,8.0,82.9,20,77,True,professional
WEAR00000019,ATH000001,2024-05-29,Whoop,10195,160,2796,144,162,46,7.4,76.6,50,85,True,professional
WEAR00000020,ATH000001,2023-03-17,Garmin,9193,179,2554,134,138,58,8.3,75.2,51,85,True,professional
WEAR00000021,ATH000001,2024-07-12,Apple Watch,14828,167,1651,125,136,48,7.9,91.5,38,84,True,professional
WEAR00000022,ATH000001,2023-04-24,Garmin,10804,161,2348,145,159,48,7.9,83.5,42,79,True,professional
WEAR00000023,ATH000001,2022-12-28,Fitbit,14931,224,2141,129,139,47,7.7,74.6,56,80,True,professional
WEAR00000024,ATH000001,2024-11-01,Fitbit,11994,175,2981,151,154,69,8.5,81.3,31,73,True,professional
WEAR00000025,ATH000001,2024-10-21,Apple Watch,10536,197,2194,122,141,70,7.7,80.5,29,81,True,professional
WEAR00000026,ATH000001,2023-09-16,Apple Watch,10112,251,4082,141,161,64,7.5,94.8,53,79,True,professional
