id,Name_of_meal,isSnack,Breakfast,Dinner,Lunch,Gluten_Free,Vegan,Dairy_Free,Vegetarian,Keto_Friendly,Paleo,How_many_servings_per_recipe,Carbs,Protein,Calories,Fat,Fiber,Sugar,allergies
61e6c567e72747a23aec3b1c,"grilled chicken (4 oz), 2 slices of whole wheat bread, 1 cup of spinach",Yes,,Yes,,,,Yes,,,,1,28,31,265,0,0,0,
61e6c56de72747a23aec3b31,"grilled chicken (4 oz), 1 piece of pita bread, 1 cup of cabbage",Yes,,Yes,,,,Yes,,,,1,34,32,283,0,0,0,
61e6c591e72747a23aec3bb3,"tuna (4 oz), 2 slices of whole wheat bread, 1 cup of spinach",Yes,,Yes,,,,Yes,,,,1,27,37,290,0,0,0,
61e6c592e72747a23aec3bba,"tuna (4 oz), 1 cup of soy milk, 1/2 cup of peppers",Yes,,Yes,,Yes,,,,,,1,17,44,295,0,0,0,
61e6c567e72747a23aec3b1a,"grilled chicken (4 oz), 1 tortilla, 1/2 cup of peppers",Yes,,Yes,,Yes,,Yes,,,,1,33,31,302,0,0,0,
61e6c56ce72747a23aec3b30,"grilled chicken (4 oz), 1 piece of pita bread, 1 cup of broccoli",Yes,,Yes,,,,Yes,,,,1,37,34,303,0,0,0,
61e6c58fe72747a23aec3baf,"Grilled shrimp (~10 shrimp), 1 cup of soy milk, 1/2 cup of squash",Yes,,Yes,,Yes,,,Yes,,,1,25,29,305,0,0,0,
61e6c581e72747a23aec3b7b,"Salmon (4 oz), 1 piece of pita bread, 1 cup of cucumber",Yes,,Yes,,,,Yes,,,,1,30,31,306,0,0,0,
61e6c568e72747a23aec3b1d,"grilled chicken (4 oz), 2 slices of whole wheat bread, 1 cup of cauliflower",Yes,,Yes,,,,Yes,,,,1,37,34,308,0,0,0,
61e6c567e72747a23aec3b1b,"grilled chicken (4 oz), 2 slices of whole wheat bread, 1 cup of broccoli",Yes,,Yes,,,,Yes,,,,1,38,34,313,0,0,0,
61e6c590e72747a23aec3bb0,"Grilled shrimp (~10 shrimp), 1 cup of soy milk, 1/2 cup of sweet potatoes",Yes,,Yes,,Yes,,,Yes,,,1,31,28,314,0,0,0,
61e6c58ee72747a23aec3ba9,"Grilled shrimp (~10 shrimp), 2 slices of whole wheat bread, 1/2 cup of corn",Yes,,Yes,,,,Yes,Yes,,,1,47,23,316,0,0,0,
61e6c56be72747a23aec3b2c,"grilled chicken (4 oz), Orzo (2 oz), 1 cup of spinach",Yes,,Yes,,Yes,,Yes,,,,1,44,34,331,0,0,0,
61e6c58ee72747a23aec3bab,"Grilled shrimp (~10 shrimp), 1 cup of white rice, 1/2 cup of carrots",Yes,,Yes,,Yes,,Yes,Yes,,,1,55,21,340,0,0,0,
