Item,Carbs,Calories,Protein,Meal,Day,Fat
"Marinated Hanger Steak (8 oz serving), Parmesan Potato Wedges (10 wedges), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",107,1350,80,Dinner,EVERY_DAY,60.0
"Marinated Hanger Steak (8 oz serving), Parmesan Potato Wedges (10 wedges), Grilled Squash (1 cup)",105,1340,76,Dinner,EVERY_DAY,59.6
"Flat Iron Steak (8 oz serving), Brown Rice Pilaf (1 cup), Grilled Squash (1 cup)",108,1280,72,Dinner,EVERY_DAY,56.9
"Marinated Hanger Steak (8 oz serving), Parmesan Potato Wedges (10 wedges), Roasted Corn (1 cup)",119,1280,78,Dinner,EVERY_DAY,54.7
"Marinated Hanger Steak (8 oz serving), Parmesan Potato Wedges (10 wedges), Braised Collard Greens (1 cup)",95,1200,76,Dinner,EVERY_DAY,53.3
"Flat Iron Steak (8 oz serving), Lo Mein Noodles (1 cup), Garden Salad (3 cups of iceberg lettuce, 1/8 of an onion, 1/2 of a medium tomato, 6 croutons, 3 black olives, 2 tbsp of Italian dressing)",85,1194,71,Dinner,EVERY_DAY,53.1
"Marinated Hanger Steak (8 oz serving), Quinoa (1 cup), Grilled Squash (1 cup)",73,1160,76,Dinner,EVERY_DAY,51.6
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Rosemary Roasted Red Potatoes (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",107,1152,58,Lunch,EVERY_DAY,51.2
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Yellow Rice (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",60,1120,80,Lunch,EVERY_DAY,49.8
"Flat Iron Steak (8 oz serving), Brown Rice Pilaf (1/2 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",52,1112,78,Dinner,EVERY_DAY,49.4
"Marinated Hanger Steak (8 oz serving), Parmesan Potato Wedges (5 wedges), Grilled Squash (1 cup)",69,1110,72,Dinner,EVERY_DAY,49.3
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Yellow Rice (1 cup), Grilled Squash (1 cup)",78,1108,68,Dinner,EVERY_DAY,49.2
"Ground Turkey (8 oz) with Teriyaki Sauce (4 tbsp), Couscous (1 cup), Vegetable Stir Fry (2 cups of broccoli, 1 large carrot, 1/2 of a medium carrot, 1 tbsp of olive oil, 2 tbsp of soy sauce)",74,1074,74,Dinner,EVERY_DAY,47.7
"Roast Beef Wrap (Roast Beef, 1/4 of an avocado, 2 tbsp of mayo, 1/2 of a yellow bell pepper, and a whole wheat tortilla), Mashed Sweet Potatoes (1 cup), Caprese Salad (2 oz of mozzarella cheese, 1 small tomato, 1 tbsp of basil, 1 tbsp of olive oil, salt and pepper)",99,1072,56,Lunch,EVERY_DAY,47.6
"Flat Iron Steak (8 oz serving), Brown Rice Pilaf (1 cup), Steamed Cauliflower (1 cup)",90,1070,70,Dinner,EVERY_DAY,47.6
"Marinated Hanger Steak (8 oz serving), Roasted Potatoes (1 cup), Kale Salad (1 bunch of kale, 1/8 cup of sunflower seeds, 1/8 cup of walnuts, 1/4 cupof fried cherries, 1/8 cup of olive oil)",74,1069,74,Dinner,EVERY_DAY,47.5
"Flat Iron Steak (4 oz serving), Parmesan Potato Wedges (10 wedges), Grilled Squash (1 cup)",100,1040,40,Dinner,EVERY_DAY,46.2
"Flat Iron Steak (8 oz serving), Lo Mein Noodles (1 cup), Steamed Carrots (1/2 cup)",78,1035,67,Dinner,EVERY_DAY,46.0
"Marinated Hanger Steak (8 oz serving), Brown Rice Pilaf (1 cup), Roasted Asparagus (1/2 cup)",88,1025,78,Dinner,EVERY_DAY,40.1
