name,carbs,protein,calories,Fat,Energy/Recovery/ALL
Gatorade Whey Protein Bar (1 bar),43,20,340,0,RECOVERY
Gatorade Prime Energy Chews (6 chews),24,0,100,0,ENERGY
Gatorade Super Shake (1 carton),13,30,190,0,RECOVERY
Gatorade Nutrition Shake (1 bottle),54,20,370,0,RECOVERY
Sabra Snackers Classic Hummus with Pretzels (1 unit),40,10,370,0,ENERGY
Sabra Snackers Guacamole & Rolled Tortilla Chips (1 unit),18,2,220,0,ENERGY
Sugar Free Jello (4 oz),3,1,12,0,ENERGY
Jell-O (1 unit),17,1,70,0,ENERGY
Orange (1 orange),18,1,70,0,ENERGY
Orange (2 oranges),36,2,140,0,ENERGY
Banana (1 banana),27,1,105,0,ENERGY
Banana (2 bananas),54,2,210,0,ENERGY
Red Apple (1 apple),25,1,95,0,ENERGY
Grapes (10 grapes),9,1,34,0,ENERGY
Grapes (20 grapes),18,2,68,0,ENERGY
Melon (1 serving / 1 cup),14,2,60,0,ENERGY
Blueberries (10 berries),2,0,8,0,ENERGY
Blueberries (20 berries),4,0,16,0,ENERGY
Blackberries (10 berries),6,1,28,0,ENERGY
Blackberries (20 berries),12,2,56,0,ENERGY
Raspberries (10 berries),2,0,10,0,ENERGY
Raspberries (20 berries),4,0,20,0,ENERGY
"Gatorade Whey Protein Bar (1 bar), Sabra Snackers Classic Hummus with Pretzels (1 unit)",83,30,710,0,RECOVERY
"Gatorade Whey Protein Bar (1 bar), Sabra Snackers Guacamole & Rolled Tortilla Chips (1 unit)",61,22,560,0,RECOVERY
"Gatorade Whey Protein Bar (1 bar), Sugar Free Jello (4 oz)",46,21,352,0,RECOVERY
"Gatorade Whey Protein Bar (1 bar), Jell-O (1 unit)",60,21,410,0,RECOVERY
"Gatorade Whey Protein Bar (1 bar), Orange (1 orange)",61,21,410,0,RECOVERY
"Gatorade Whey Protein Bar (1 bar), Banana (1 banana)",70,21,445,0,RECOVERY
"Gatorade Whey Protein Bar (1 bar), Red Apple (1 apple)",68,21,435,0,RECOVERY
"Gatorade Whey Protein Bar (1 bar), Grapes (20 grapes)",61,22,408,0,RECOVERY
"Gatorade Whey Protein Bar (1 bar), Blackberries (20 berries)",55,22,396,0,RECOVERY
"Gatorade Whey Protein Bar (1 bar), Raspberries (10 berries)",45,20,350,0,RECOVERY
"Gatorade Prime Energy Chews (6 chews), Sabra Snackers Classic Hummus with Pretzels (1 unit)",64,10,470,0,ENERGY 
"Gatorade Prime Energy Chews (6 chews), Sabra Snackers Guacamole & Rolled Tortilla Chips (1 unit)",42,2,320,0,ENERGY 
"Gatorade Prime Energy Chews (6 chews), Sugar Free Jello (4 oz)",27,1,112,0,ENERGY 
"Gatorade Prime Energy Chews (6 chews), Jell-O (1 unit)",41,1,170,0,ENERGY 
"Gatorade Prime Energy Chews (6 chews), Orange (1 orange)",42,1,170,0,ENERGY 
"Gatorade Prime Energy Chews (6 chews), Banana (2 bananas)",78,2,310,0,ENERGY 
"Gatorade Prime Energy Chews (6 chews), Grapes (20 grapes)",42,2,168,0,ENERGY 
"Gatorade Prime Energy Chews (6 chews), Blueberries (20 berries)",28,0,116,0,ENERGY 
"Gatorade Prime Energy Chews (6 chews), Raspberries (20 berries)",28,0,120,0,ENERGY 
"Gatorade Super Shake (1 carton), Sabra Snackers Classic Hummus with Pretzels (1 unit)",53,40,560,0,RECOVERY
"Gatorade Super Shake (1 carton), Sabra Snackers Guacamole & Rolled Tortilla Chips (1 unit)",31,32,410,0,RECOVERY
"Gatorade Super Shake (1 carton), Sugar Free Jello (4 oz)",16,31,202,0,RECOVERY
