id,Name_of_meal,Ingredients,Instructions,sort,isSnack,Breakfast,Gluten_Free,Vegan,How_many_servings_per_recipe,Carbs,Protein,Calories,Fat,Fiber,Sugar
5e422feecffadda5e4ba84f0,2 scoops of whey protein,,,2,True,x,,,1.0,6,48,240,2.7,0.0,0.0
5e422feecffadda5e4ba84f1,1 cup of plain Greek yogurt,"[{""name"":""Greek yogurt - 1 cup"",""servingSize"":"""",""carbs"":6,""protein"":17,""calories"":100,""fat"":1,""seq"":2,""id"":""5a7890150774ce72f527b696"",""Category"":""Core Protein"",""servings"":1}]",,1,True,x,,,1.0,6,17,100,1.0,0.0,0.0
5e422feecffadda5e4ba84f9,1 cup of whole-wheat pasta,"[{""name"":""Whole-wheat pasta - 1 cup"",""servingSize"":"""",""carbs"":37,""protein"":7,""calories"":172,""fat"":1,""seq"":1,""id"":""5a7890150774ce72f527b672"",""Category"":""Core Carbohydrate"",""servings"":1}]",,1,False,,,,1.0,37,7,172,1.0,0.0,0.0
5e44553d697ac900148c415a,Default Meal,[],,,,,,,,0,0,0,0.0,,
5e5e3d9eb9082fdf103b365c,"6 oz chicken breast, 2 cups of frozen mixed veggies",,,1,False,,,,1.0,20,55,366,7.3,0.0,0.0
5e5e3d9eb9082fdf103b368b,"6 oz pork chop, 2 cups of green beans",,,1,False,,,,1.0,20,40,404,18.0,0.0,0.0
5e5e3d9eb9082fdf103b3690,"6 oz pork chop, 1 orange",,,1,False,,,,1.0,15,37,378,16.8,0.0,0.0
5e5e3d9eb9082fdf103b364b,"6 oz pork tenderloin, 2 cups of rigatoni with tomato sauce",,,1,False,,,,1.0,94,60,854,26.4,0.0,0.0
5e5e3d9eb9082fdf103b367b,"2 4 oz chicken breasts, 2 cups of green beans",,,1,False,,,,1.0,20,72,456,9.8,0.0,0.0
5e5e3d9eb9082fdf103b3664,"2 cups of penne, 2 cups of frozen mixed veggies",,,1,False,,,,1.0,99,16,490,3.3,0.0,0.0
5e422feecffadda5e4ba84fa,1 cup of pistachios,"[{""name"":""Pistachios - 1 cup"",""servingSize"":"""",""carbs"":34,""protein"":25,""calories"":691,""fat"":56,""seq"":5,""id"":""5a7890150774ce72f527b6d0"",""Category"":""Vegan Protein"",""servings"":1}]",,1,False,,,,1.0,34,25,691,56.0,0.0,0.0
5e422feecffadda5e4ba8502,1 serving of tilapia or a similar fish (4 oz.),"[{""name"":""Tilapia - 1 serving (4 oz.)"",""servingSize"":"""",""carbs"":1,""protein"":21,""calories"":91,""fat"":1,""seq"":2,""id"":""5a7890150774ce72f527b6af"",""Category"":""Core Protein"",""servings"":1}]",,1,False,,,,1.0,1,21,91,1.0,0.0,0.0
5e422feecffadda5e4ba8507,1/2 of a Peanut Butter and Jelly Sandwich,,,1,False,x,,,1.0,21,24,186,0.7,0.0,0.0
5e422feecffadda5e4ba8509,2 Peanut Butter and Jelly Sandwiches,,,1,True,x,,,1.0,84,24,742,33.0,0.0,0.0
5e422feecffadda5e4ba8508,1 Peanut Butter and Jelly Sandwich,,,1,True,x,,,1.0,42,12,371,16.5,0.0,0.0
5e422feecffadda5e4ba850e,2 Peanut Butter Sandwiches,,,1,True,x,,,1.0,76,24,684,30.4,0.0,0.0
5e422feecffadda5e4ba850b,1/2 of a Peanut Butter Sandwich,,,1,True,x,,,1.0,19,6,171,7.6,0.0,0.0
5e422feecffadda5e4ba850c,3/4 of a Peanut Butter Sandwich,,,1,True,x,,,1.0,27,9,257,11.4,0.0,0.0
5e422feecffadda5e4ba8513,3 plain bagels and 1 banana,,,2,False,x,,x,1.0,183,31,915,6.6,0.0,0.0
5e422feecffadda5e4ba8510,1/2 of a plain bagel and 1 banana,,,1,False,x,,,1.0,53,6,249,1.4,0.0,0.0
5e422feecffadda5e4ba8511,"1 plain bagel, and 1 banana",,,1,False,x,,,1.0,79,11,375,1.7,0.0,0.0
5e422feecffadda5e4ba850a,3 Peanut Butter and Jelly Sandwiches,,,2,True,x,,x,1.0,126,36,1113,49.5,0.0,0.0
5e422feecffadda5e4ba8515,"1 Peanut Butter Sandwich, and 1 banana",,,1,True,x,,,1.0,65,13,447,15.0,0.0,0.0
5e422feecffadda5e4ba8516,"2 Peanut Butter Sandwiches, and 1 banana",,,1,True,x,,,1.0,103,25,789,30.8,0.0,0.0
5e422feecffadda5e4ba850d,1 Peanut Butter Sandwich,,,1,True,x,,,1.0,38,12,342,15.2,0.0,0.0
5e422feecffadda5e4ba850f,3 Peanut Butter Sandwiches,,,2,True,x,,x,1.0,114,36,1113,49.5,0.0,0.0
5e422feecffadda5e4ba8512,2 plain bagels and 1 banana,,,1,False,x,,,1.0,131,21,645,4.1,0.0,0.0
